DATE,ANXAVS
2014-09-01,69448
2014-10-01,67244
2014-11-01,65686
2014-12-01,66908
2015-01-01,65590
2015-02-01,65644
2015-03-01,66252
2015-04-01,65585
2015-05-01,64815
2015-06-01,65644
2015-07-01,64952
2015-08-01,64644
2015-09-01,64876
2015-10-01,64394
2015-11-01,63282
2015-12-01,63081
2016-01-01,62159
2016-02-01,61446
2016-03-01,61154
2016-04-01,61778
2016-05-01,60967
2016-06-01,60504
2016-07-01,59411
2016-08-01,59833
2016-09-01,60165
2016-10-01,59420
2016-11-01,59584
2016-12-01,60022
2017-01-01,59770
2017-02-01,59959
2017-03-01,60822
2017-04-01,60387
2017-05-01,60996
2017-06-01,60779
2017-07-01,60604
2017-08-01,61588
2017-09-01,62494
2017-10-01,62778
2017-11-01,63488
2017-12-01,63987
2018-01-01,63405
2018-02-01,63961
2018-03-01,63852
2018-04-01,64779
2018-05-01,64876
2018-06-01,65760
2018-07-01,66284
2018-08-01,66106
2018-09-01,66035
2018-10-01,66473
2018-11-01,66341
2018-12-01,66438
2019-01-01,66356
2019-02-01,66829
2019-03-01,66533
2019-04-01,67066
2019-05-01,67318
2019-06-01,66497
2019-07-01,65504
2019-08-01,65399
2019-09-01,64482
2019-10-01,63998
2019-11-01,63198
2019-12-01,62984
2020-01-01,61906
2020-02-01,61057
2020-03-01,59845
2020-04-01,54714
2020-05-01,55743
2020-06-01,57573
2020-07-01,58729
2020-08-01,59385
2020-09-01,59908
2020-10-01,60987
2020-11-01,61226
2020-12-01,61749
2021-01-01,62816
2021-02-01,62307
2021-03-01,63554
2021-04-01,63984
2021-05-01,64329
2021-06-01,64647
2021-07-01,65271
2021-08-01,65376
2021-09-01,66377
2021-10-01,66230
2021-11-01,67091
2021-12-01,68351
2022-01-01,69231
2022-02-01,70120
2022-03-01,70508
2022-04-01,70906
2022-05-01,71557
2022-06-01,71697
2022-07-01,72182
2022-08-01,72456
2022-09-01,72315
2022-10-01,73260
2022-11-01,73391
2022-12-01,73048
2023-01-01,73850
2023-02-01,73623
2023-03-01,73479
2023-04-01,73837
2023-05-01,74051.0
2023-06-01,74034.0
2023-07-01,73835.0
2023-08-01,74380.0
2023-09-01,74287.0
2023-10-01,74282.0
2023-11-01,74067.0
2023-12-01,74146.0
2024-01-01,74807.0
2024-02-01,74379.0
